,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
Belgium,0.5653694673537139,0.004590961042624169,0.10445501519177883,0.03793861580630373,0.05250118735676332,0.0030397786643503893,0.020132144636068643,0.002426257543846785,0.01210109629326872,0.11615194222524583,0.05659845001700892,0.00012135505659539328,0.0007380583764249032,0.00015961757800200252,0.0236760528580046
Bulgaria,0.8539957581999663,0.053345412392217115,0.003016512114276357,0.03555635870132048,0.00035064269355653037,0.004682382854725239,0.018072972289753898,0.000931172945731676,0.01690582695398755,0.0007695361896444497,0.0017295996219754209,0.0005009373929963426,0.002173210652857782,0.007049571310534064,0.0009201056864568434
Czechia,0.4741797413834816,0.07940388402083569,0.3503785427802093,0.03946770011298147,0.008560480573043766,0.0008572052156190406,0.00012958126948181477,0.00556884379979608,5.715839011140882e-05,0.0020879110807312134,0.02221483938288729,5.029524248015673e-05,0.016335749547131254,0.00037719070408468504,0.0003308764971251359
Denmark,0.37379856427597974,0.04552001068576868,0.48067441751659706,0.06353190876638319,0.0006963402861529068,0.009521502010113519,0.00039095138008412585,0.0010476126022359903,0.003313389096253432,0.011549826899794767,0.0035655696608932834,0.0029802029711889304,0.0001405276576288486,0.0031198349849197574,0.0001493412060055387
Germany,0.9772727985888814,0.0016690683993102358,0.0001260852640578924,0.006577647880338994,0.0007616880657580438,0.0003893801543272112,0.0018254357923963114,1.793989562935412e-06,0.0010976805200586602,1.0050462952909058e-05,0.0033140217899054066,0.002043297186396758,0.0002235222246543183,1.260282446955269e-05,0.004674926856929191
Estonia,0.7166605758955396,0.006191477596667614,0.002144355844010666,0.007993885942821681,0.016679664473526527,0.0025254558043404374,0.02976476708793155,0.04202719109122306,0.1342946829998432,0.0077129273792675215,0.0043158633006866185,0.003004599876739446,0.0002729538305070295,0.012032376380272878,0.014379222496622162
Ireland,0.477355074075018,0.09637312652924851,0.0015630647682481672,0.0048798825661747446,0.0035545139738550158,0.02477529578314194,0.0070477342289069055,0.05913693414800771,0.07117533064219178,0.08489487561772001,0.018153331805035883,0.04800374443033951,0.03554839597829098,0.06349387458159114,0.0040448208722298614
Greece,0.0796111727926731,0.14485647413348263,0.02729187302803485,0.2436693869408872,0.04686437714709582,0.009112951353747062,0.32247952067730223,0.1218385754020373,0.00046748295451162926,0.00201579189140384,0.0006331415815628822,2.9701564099747022e-05,0.001059868514748628,3.0290690729877015e-05,3.939132768310152e-05
Spain,0.249570692655295,0.06144375998054232,0.36375362836510455,0.0032586699853002624,0.038521994508397266,0.012738951383593695,0.02120148565052832,0.0392677261702048,0.10094800343544282,0.08424546107836145,0.0063191915846957875,0.000646798794038667,0.00041705899425617765,0.017242029735254058,0.0004245476789850287
France,0.09626716448644311,0.0032178197687154236,0.01771802898026778,0.43742004608671925,0.06677592354176462,0.03862752743315877,0.01864068267512224,0.2274894724323921,0.00044004087889406847,0.027802164901966027,0.0037230265031751846,0.0022605876714421754,0.00013446562096953993,0.034497576304267065,0.02498547271470258
Croatia,0.0858474971470535,0.20148782715252697,0.006012939149578839,0.07800869958351286,0.35096702774918753,0.012383130107562697,0.03416875854237512,0.03325894123877161,0.15815671737066647,0.0007232169827160241,0.007760976970296348,0.02679030399607594,0.0003606774491030169,0.004046953118988345,2.6333441584818398e-05
Italy,0.5889175659641999,0.0004437255556099947,0.03632758165531401,4.043206341948838e-05,0.017436374372626958,0.15888792397429513,0.023491808701915723,0.04610595632374528,0.00736676328246078,0.07829771818630088,0.005025250177686381,0.011651763676642373,0.022428246367935833,0.0009145530427366668,0.0026643366551107207
Cyprus,0.6218353796211031,0.19834990989371581,0.0582306952025166,0.04485789787884477,0.014298764426158824,0.007118855947760643,0.017337681228131042,0.007879739528741285,0.0024505674696171484,0.0018698948551097029,0.01785322724170957,0.002736428503863812,3.379636223285427e-05,0.004635249738574871,0.0005119121019198808
Latvia,0.08746368970394403,0.0002194878278125957,0.001297673114493753,0.5556307256192843,0.0008128503861881101,0.0007065537703442048,0.025476341104145834,0.2716750068976414,0.0024257124052582423,0.035894511444757554,0.0010440230167095969,0.001900072426642758,0.0008799607269394299,0.006143148169828858,0.008430243386009171
