,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
Students,0.4438126898228943,0.4461696595670849,0.5735380390284195,0.6898476817633487,0.9122237701108474,1.0040613054260004,1.0115156048573846,1.0182517955408361,1.0240847658461953,1.02673017174054,1.0276986060622098,1.0277318458081321,1.027764080432694,1.0277733033745045,1.0277777777777797
Unemployed,0.5383440758823619,0.539831365134235,0.5709857504873175,0.8699405526239443,0.9128160516043268,0.9223757208971389,0.9414483178827542,1.0132575847782437,1.0160355546314377,1.0263788285303315,1.0268982104732696,1.0271219258923898,1.0271482074985188,1.0275471602175676,1.0277777777777748
Self-employed,0.8602995943497195,0.8695451642365879,0.8709757930768868,0.8710221882561833,0.8739583765329942,0.9480565490344223,0.9536206290409459,0.9571449756537095,0.9669354570077057,0.9921540819065644,0.9934348255995509,1.0223523406912465,1.027337932279944,1.0277479462158845,1.0277777777777768
Part Timers,0.7541298188037123,0.801573621328561,0.8100991871235326,0.8378486713991374,0.8516137819638148,0.8692331630760552,0.9517153552709343,1.0059769601716673,1.0111021617472704,1.0113563678819077,1.0114643564528385,1.0165079087082396,1.0195710502950146,1.0256977721503817,1.0277777777777772
Full Timers,0.863243807521822,0.8922373808675752,0.8928219088696007,0.9162754535770734,0.9200041811160066,0.9568170283331704,0.9626346078128479,0.9794038247019011,1.0006461279544765,1.0006896102103762,1.0047239448719298,1.006294097014095,1.0064958577412018,1.0242619272025075,1.027777777777777
"Working in agriculture, forestry or fishing",0.7604852855923862,0.798260452448005,0.8130062087036032,0.8432244232156109,0.9029424536482384,0.9245102310457883,0.9246684949813413,0.9446471213683677,1.0045588116852104,1.0142283345158316,1.0143927844995808,1.023528252706521,1.0247318501373552,1.0261959794727737,1.0277777777777772
"Working in mining or quarrying, manufacturing or other industry",0.8940297465588609,0.9403424297806098,0.9449918533901379,0.9588746259584877,0.9619064989396743,0.9730242384365801,0.9758071481730021,0.9767029662150702,0.9922229713053536,0.9923579763920088,0.9928528260282505,0.9976375839635352,1.010395041010802,1.0249255149051446,1.0277777777777772
Working in construction,0.794418088458644,0.869548140892167,0.8794594729802766,0.9197083740851704,0.9206009831618092,0.9325666067113114,0.95880405331423,0.9606095995211796,0.98734954819775,1.000745884765476,1.0095718701738419,1.0110464221510782,1.0253557512620082,1.0260017447159455,1.0277777777777772
"Working in wholesale or retail trade, transport, accommodation or food service activities",0.8800411131481506,0.8912832193636112,0.9236362831677942,0.9237201427889483,0.9239643566086182,0.9474218666375713,0.9482751962128025,0.9674916881842727,0.9675973034342177,0.972177214383354,1.0090826831394017,1.0220726986537518,1.0259250388380663,1.026025829906751,1.0277777777777772
Working in information or communication,0.20906920456484426,0.9227936510282146,0.9501839854696064,0.9504432211131685,0.9711420950379692,0.9784234618095241,0.9915926212219824,0.9918400948686646,0.9924466808674602,0.9988151889009594,1.0244691700823152,1.0252308605856035,1.0262403982108483,1.0271257016695792,1.027777777777777
Working in financial or insurance activities,0.5677458217127799,0.6330781445672332,0.6657899535168816,0.7078012157084901,0.8116891338263872,0.9415577446126864,1.0016915330371714,1.0024850564392165,1.0135979886487845,1.0228100319653137,1.0229981502280916,1.0253290412176082,1.0271041636075935,1.0277542466286749,1.027777777777778
Working in real estate activities,0.21821749203451107,0.22410031258062296,0.8685969405332687,0.8750704358327777,1.0083813467339422,1.0136681090558757,1.020194693767419,1.0201951610506341,1.0248304545620845,1.0270522408649574,1.0271913417844414,1.027540647159883,1.0275503859625905,1.0277468836884365,1.0277777777777777
Working in business services,0.5393175034282169,0.9234530011308534,0.9297902428102874,0.9355642356278021,0.9371054212023985,0.937621374654448,0.9557245383083047,0.9688182796572948,0.9712958106418756,1.0099860395236604,1.0158875434421912,1.020698101685663,1.0243824406975615,1.0254963371779144,1.0277777777777772
"Working in public administration, defence, education, human health or social work activities",0.6983796661025288,0.7136952159356771,0.7146150961738453,0.8244405300635986,0.8325442810370481,0.8328117627226777,0.9414324215963371,1.0016031020169214,1.0134472113297222,1.0190557821894957,1.0243904434694777,1.024618140663231,1.0252108690280917,1.0265390772475083,1.0277777777777763
Working in other service activities,0.8172756410288008,0.8781144909714957,0.8972424993066362,0.9028813710679453,0.9028813715515346,0.9277153129431376,0.9452155365107194,0.9633842015976928,0.9750413549240167,1.0082321183706295,1.0125640616541538,1.0139850969070379,1.0202418811766132,1.0245776533199207,1.0277777777777766
