,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
Belgium,0.00580970769210029,0.0003083678297800705,0.010981230823194422,0.005320505833417287,0.008601423613496256,0.0006593808278302875,0.005435383817208554,0.0008533090415456364,0.006460342885346451,0.07267911358471199,0.060329170942286285,0.00016563637220706905,0.0013880210896686123,0.0003230012917619562,0.11264794050477617
Bulgaria,0.0861436887902963,0.035172914298546715,0.003112953388179258,0.04894795376394716,0.0005639126349310241,0.009970274010030764,0.047897801305148355,0.0032147382553685084,0.08859579134003251,0.004726699734572697,0.018097318141381873,0.006711616055258992,0.04011926765873441,0.14003354096850892,0.042973179767604536
Czechia,0.017814170792186595,0.01949880016152839,0.13466660486021576,0.020235500328478546,0.005127433571827052,0.0006797979380596869,0.0001279036949049244,0.007160365153329227,0.00011156077575020535,0.004776346552794135,0.08656985337778396,0.0002509720882222152,0.11231689861407235,0.002790520444214313,0.0057554668885506245
Denmark,0.0128047524321815,0.010192469915571156,0.16845517555749184,0.02970126671813246,0.0003803070349820599,0.006885118867784229,0.0003518637701847531,0.0012282359047301118,0.00589677988819602,0.024091855360798914,0.012669613633709813,0.013559863016883143,0.0008810058348929498,0.021045865590212178,0.00236867368619831
Germany,0.02580115605797843,0.0002880321824566858,3.405551716233512e-05,0.0023699734814390094,0.0003206120094816888,0.00021700492456388088,0.0012662170599627264,1.621028999931611e-06,0.001505595239435562,1.615736873635267e-05,0.009075688940596982,0.007165240853903718,0.0010800092775015628,6.552286121438136e-05,0.057146574019917684
Estonia,0.011915584211096796,0.0006728831569587407,0.0003647526657286001,0.001813883058152454,0.004421487652182394,0.0008863679021191357,0.01300237114578654,0.023915513391168677,0.11600309205639892,0.007808763735796173,0.007443383487643082,0.006635358203832338,0.0008305665560260503,0.03939624648007363,0.11069531843901705
Ireland,0.004913240729349196,0.006483745719777359,0.00016458993241197113,0.0006854651537361294,0.0005832919815220677,0.005382918072986126,0.0019058743381366462,0.020832089037911616,0.03805966088776349,0.05320705126113792,0.01938133703650383,0.06562623912701804,0.06696223326691725,0.1286944864712656,0.019276039939381272
Greece,0.0036853566351419606,0.04383156075048989,0.012925240545906937,0.15394159467874044,0.03458817352815797,0.008905062528502837,0.3922165209965173,0.19303578647477299,0.0011242947964456716,0.005682146253788209,0.0030402354893977897,0.00018262520702068397,0.008979267516336443,0.000276131713396168,0.0008443026307652459
Spain,0.0017959237338954792,0.002890118268454427,0.026779436375905002,0.000320025214206687,0.004419593750346583,0.001935086608839275,0.004008471903104547,0.009671137920643244,0.03773991870638739,0.036914928499159394,0.004716900509704505,0.0006182148154457546,0.0005492565153548757,0.024433422601582187,0.0014145320776767277
France,0.00012038073888924515,2.6301714892756325e-05,0.00022666998977575816,0.007464951966917748,0.0013313063642521083,0.0010196430329330094,0.000612433420408847,0.009736158730745747,2.8587802234652487e-05,0.002116989256769225,0.0004829207212448579,0.00037547072484796803,3.0773260032600844e-05,0.00849511025804077,0.014466331712523373
Croatia,0.002559933881659313,0.03927294320956847,0.001834373264273655,0.03174633973913318,0.16685787504662156,0.0077947819049170265,0.02677001128509316,0.033943533316882324,0.24501782131760985,0.0013132002016159122,0.02400592214418552,0.10610959423641272,0.0019683554184959816,0.023764621150120742,0.00036358064552733467
Italy,0.01112449916789791,5.4787808231133566e-05,0.007020406178239423,1.0423207322402513e-05,0.005251234646670816,0.06335622199272957,0.011658982732027525,0.02980784034715317,0.007229555486061303,0.0900608993715427,0.00984656007921922,0.029234355826576474,0.07753623302161462,0.003402016924206152,0.02330274502398758
Cyprus,0.041187897283727355,0.0858755885231162,0.039458989654734974,0.04054923096903345,0.015099827454071324,0.0099535229003556,0.030171954972887934,0.017862966035380706,0.008432760738224522,0.007541758030350772,0.12266250064945762,0.02407432950671839,0.0004096826477569695,0.06046011134735801,0.015699347911871202
Latvia,0.00027059263174285123,4.4385604429364504e-06,4.107270177350904e-05,0.023459780091293278,4.0093878399207115e-05,4.614299844824732e-05,0.0020708253428223617,0.02876639081831688,0.0003898848882048333,0.0067620352954598905,0.0003350419082789902,0.0007807899767103076,0.0004982357452580694,0.0037426634329566313,0.012075922283890506
Lithuania,0.0022398749901677696,0.0017661705999348386,0.003185764722930089,0.0018892734299515632,0.024971955903709712,0.004793638888527463,0.000279167883974252,0.01912839494348245,0.04935966870616958,0.027251326234723205,0.0021055341593643456,0.01660907624122875,0.06697009996028873,0.10134448118967872,0.0013230463389764335
Luxembourg,0.0017930370124523867,0.002015647937565253,0.0066459125219548235,0.038548234256205516,0.042012019582574646,0.07679137514417621,4.752171695990962e-06,0.013980065168913078,0.0079874507470474,0.008565266162550367,4.39584986255586e-05,0.005385361042377474,0.0003268067708668592,0.007550586046804783,0.02085484991773474
Hungary,0.0003054421013189616,0.025514953627548718,0.0048139778399560055,0.044042877546008226,0.01146785667046222,0.056709700757806715,0.005439391245903967,0.006749144181170118,4.2166049317885824e-05,0.12347038182064708,0.0621860773962101,0.028782097398172987,0.0026819919761183076,0.023235099059820897,0.101480751592885
