,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
Students,0.6661926822045513,0.048548632773648785,0.3568870682181335,0.3410419955590941,0.47156769222191075,-0.30304708432049465,0.08633828485315329,0.08207429977435986,0.07637388496966217,0.0514335094500123,-0.03111967740304973,0.0057653920874727324,0.005677554452556965,0.003036929668354349,0.002115278533711626
Unemployed,0.7337193440835276,-0.03856538930016337,-0.1765060490552163,0.5467675942634374,-0.2070639973061044,0.097773561318038,-0.13810357339915286,0.2679725114549802,-0.05270644982536756,-0.10170188739101038,0.022789952675204023,-0.014957119345656635,0.005126558897434476,-0.019973800816293852,-0.015186097596393807
Self-employed,0.9275233659319422,-0.09615388648863028,0.03782365450744935,0.00681140068535699,-0.054186606064700264,0.2722097950137504,0.07459276108660717,0.05936620766701877,0.0989468612639946,0.15880373074603366,-0.03578747955621439,0.17005150717266726,-0.07060872176082529,-0.02024880085191536,0.005461827706204702
Part Timers,0.8684064824744875,-0.21781598317122808,0.09233399046381326,0.166581764535032,-0.11732480796778373,0.13273801683105146,0.2871971312441665,-0.2329412048151486,0.07159051316761919,-0.015943843157697958,0.010391754949519027,-0.07101797135515212,0.055345655536590675,-0.07827337896990912,-0.045607078698329515
Full Timers,0.9291091472597942,-0.17027499330715978,-0.024177013918709096,0.15314550175396185,0.061063307631777815,0.19186674338499574,0.07627305867524642,-0.1294960110932115,-0.14574739535434397,0.006594107665161028,-0.06351641253686818,-0.03962514532673797,0.014204250318364052,0.13328941991510698,0.059294608315339115
"Working in agriculture, forestry or fishing",0.8720580746672701,-0.1943583465036139,-0.12143210553884917,-0.17383387043958876,-0.2443727284960978,-0.1468597201330232,-0.012580299501719502,0.14134576890387068,0.24476864651511782,0.09833373190630529,0.012823805353686995,-0.09557964326644111,0.034692901735575404,0.03826394301974864,0.039771828031956794
"Working in mining or quarrying, manufacturing or other industry",0.9455314624902024,-0.2152038178605316,-0.06818668205396228,-0.11782517798989244,0.055062446196900115,-0.10544069184572845,-0.05275329123781644,-0.029930219545939715,-0.12457931244907136,-0.011619168931348903,-0.02224521603045703,-0.0691719447123227,-0.11294891343995693,-0.12054241533312103,0.05340658079893024
Working in construction,0.8913013454823481,-0.27409861808028685,-0.09955567330950855,-0.2006212877660138,0.029876564003225314,-0.10938749265570656,-0.16197977220294704,0.04249171927504894,-0.16352354165859526,0.11574254432889394,-0.09394671579339949,0.03839989553679053,0.11962160804357215,-0.025416401278256763,-0.04214300727085989
"Working in wholesale or retail trade, transport, accommodation or food service activities",0.9381050650903398,0.10602879899093773,-0.17986957442597962,0.009157489893750459,0.015627342053909296,-0.15315844746194432,-0.029211805408621453,-0.13862356210785434,-0.010276928040277529,-0.06767503933605355,0.1921079611990292,0.11397374923354078,0.06206722310780752,-0.010039475518413893,0.04185627636360068
Working in information or communication,0.4572408605591196,0.8448221389519633,-0.16550025510974825,-0.016100796364221424,-0.1438710322643192,-0.08533092505976317,0.11475695801326544,-0.01573129513683461,0.02462896666114107,-0.07980293248684016,-0.16016860235812652,0.027598740972885255,0.03177322182663989,-0.029754049450972295,0.025535780939649328
Working in financial or insurance activities,0.7534890986024814,0.25560188351116137,0.1808640620732833,-0.20496649041150222,0.3223164875055216,0.3603728774287809,-0.24522191668871074,0.028169547423503354,0.10541789321347698,-0.0959793900612483,0.013715621122568775,-0.048279301874783416,0.04213220134274285,-0.025496725693339287,0.004850891578166346
Working in real estate activities,0.4671375515140172,0.07669954723537732,0.8028054732951475,-0.08045803439998317,-0.3651176671994449,-0.0727101253054442,-0.08078728062970762,0.0006835811694692199,-0.06808298988330606,-0.04713582822941346,0.011794105285434493,0.018689713091470262,-0.0031207054823721454,0.01401776465225054,0.005558245167431905
Working in business services,0.7343823959138842,0.6197866549891474,-0.0796067941788518,0.075986793704661,-0.03925793645361901,-0.022714608780462216,-0.13454799758397284,-0.11442788711232123,-0.04977480270760257,0.19669831946863378,0.07682124653070167,-0.06935818800597322,-0.06069875626319179,0.03337508772052878,-0.04776442818523762
"Working in public administration, defence, education, human health or social work activities",0.8356911308028396,0.12375600928095687,-0.030329527496619876,-0.33139920622981783,0.09002083632942702,0.016354867337569436,0.32957648410294604,0.2452971268086611,-0.1088306450996265,-0.07489039230618011,0.07303876559733302,-0.015089638622356514,-0.024346013325809518,0.03644459108587525,-0.03519517765643695
Working in other service activities,0.9040329866928534,-0.24665532619972957,-0.13830404309036112,-0.0750924214638807,2.1990663862895873e-05,-0.1575878846599667,-0.13228841055656326,-0.1347911906875718,0.10796829778376574,-0.1821833237335759,-0.06581749982735763,0.03769662123962941,-0.07909983735492349,0.06584658034634312,-0.05656964254665029
