,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
Belgium,0.4636369103163711,0.10681577459281288,0.6374210072300673,-0.44368763317951476,-0.5641388780250493,0.1561956805731856,-0.44845200549971515,0.17768633750851118,0.4889096918223433,-1.6398558481263967,-1.4940479660521588,0.07828502903915635,-0.2266203440067521,0.10932084794398725,2.0415616078572594
Bulgaria,-1.7853057119835145,1.1407882489955044,0.3393807233221011,-1.3457616019436893,0.14444641737491412,0.6073714994722244,-1.331247027523626,0.34488449580784986,1.8105370141428212,-0.41819599493442045,-0.8182913730640996,0.4983269950991845,-1.2183648482179603,2.2762339545474735,1.260955055266193
Czechia,0.8118647173703905,0.8493854283989987,2.2321882491913585,-0.8652823308918923,-0.43556290264162867,0.15859547190323064,-0.06879270827262293,-0.5147169228548654,0.06424755795170425,0.4203865155465658,1.7897163392498843,0.09636372379802453,2.0385596014639056,-0.32132422323243787,-0.4614675231003511
Denmark,0.688313765655399,-0.6141020980880402,-2.4965659405726095,1.0483066672357384,0.11862276465475004,-0.5047270530772217,-0.11410065511133521,0.2131776922546403,-0.4670983363952956,-0.9441391043429775,-0.684671968498246,0.70831838294984,0.18054699081136508,0.8824381150187534,-0.2960421023931182
Germany,0.9770582245420188,0.10323367062590275,-0.03549724123092384,-0.29612331690233945,-0.10891576722780996,-0.08960570410896615,0.21644868033467168,-0.007744551181151146,0.23602335447814438,0.024450411923831652,-0.5794829512609395,-0.5148921358832717,-0.1999008335839494,0.04923764682569741,1.4541056490973943
Estonia,0.6639854033113842,0.15778680809076978,0.11617163436897239,0.25906306790363,0.40446884074146994,-0.18109558906391957,-0.6936048820431572,0.9406774130770023,2.0717418772826792,0.537516751575668,-0.5247906144766635,-0.4954878944452593,0.17530248878143134,1.2073363739085823,-2.0237902021315426
Ireland,-0.4263682762424056,0.4897944381388608,0.07803734682344686,-0.1592551747612516,-0.14690746514835964,0.44628238672446696,0.2655510318395617,-0.8779449267481018,-1.186679170141302,-1.4030897678559642,-0.8468231635652403,-1.5582589154885869,-1.574040225304277,-2.182131068345077,0.8445196728064462
Greece,-0.3692671059006645,-1.2734864537042105,0.6915445757133496,2.3865956932654924,1.131265848747254,-0.5740098549281232,-3.8094633843720223,-2.6725126939954094,0.20395810223791025,0.4585187143292667,0.33539337069733244,0.08220178014961296,-0.5763964764851087,0.10107855062107993,-0.17674613811428555
Spain,0.2577773809978927,0.32700821997744006,0.9954090344720029,-0.10881605086404955,0.40438220628858484,-0.26757840818543854,0.38511486652019583,0.5981906912212861,-1.1816839645761186,-1.1686968616664022,-0.417762275533666,-0.1512413573447849,-0.14255697481403848,-0.950808411962442,-0.22877431427946393
France,0.0667389491893757,-0.031195567810700035,-0.09157941701989072,0.5255503998437797,-0.22194218949385897,0.1942338596087751,-0.1505325099608963,0.6001981947970126,-0.032523048483838995,-0.2798724754249001,0.13367148793239245,0.11786609698880682,-0.03374330483527409,-0.5606416676875778,-0.731610738961208
